InventoryID,Glottocode,LanguageName,GlyphID,Source,Allophones,Phoneme,SegmentClass,nasal,PhonemeOld,base,ISO6393,name,isocodes,level,macroarea,latitude,longitude
7,kuru1302,Kurukh,0061,spa,a,a,vowel,-,a,a,kru,Kurukh,kru,language,Eurasia,24.4644,86.4657
7,kuru1302,Kurukh,0061+02D0,spa,aː,a,vowel,-,aː,a,kru,Kurukh,kru,language,Eurasia,24.4644,86.4657
7,kuru1302,Kurukh,0061+0303,spa,ã,ã,vowel,+,ã,a,kru,Kurukh,kru,language,Eurasia,24.4644,86.4657
7,kuru1302,Kurukh,0061+0303+02D0,spa,ãː,ã,vowel,+,ãː,a,kru,Kurukh,kru,language,Eurasia,24.4644,86.4657
7,kuru1302,Kurukh,0065+031E,spa,e̞,e,vowel,-,e̞,e,kru,Kurukh,kru,language,Eurasia,24.4644,86.4657
7,kuru1302,Kurukh,0065+031E+02D0,spa,e̞ː,e,vowel,-,e̞ː,e,kru,Kurukh,kru,language,Eurasia,24.4644,86.4657
7,kuru1302,Kurukh,0065+031E+0303,spa,ẽ̞,ẽ,vowel,+,ẽ̞,e,kru,Kurukh,kru,language,Eurasia,24.4644,86.4657
7,kuru1302,Kurukh,0065+031E+0303+02D0,spa,ẽ̞ː,ẽ,vowel,+,ẽ̞ː,e,kru,Kurukh,kru,language,Eurasia,24.4644,86.4657
7,kuru1302,Kurukh,0069,spa,i,i,vowel,-,i,i,kru,Kurukh,kru,language,Eurasia,24.4644,86.4657
7,kuru1302,Kurukh,0069+02D0,spa,iː,i,vowel,-,iː,i,kru,Kurukh,kru,language,Eurasia,24.4644,86.4657
7,kuru1302,Kurukh,0069+0303,spa,ĩ,ĩ,vowel,+,ĩ,i,kru,Kurukh,kru,language,Eurasia,24.4644,86.4657
7,kuru1302,Kurukh,0069+0303+02D0,spa,ĩː,ĩ,vowel,+,ĩː,i,kru,Kurukh,kru,language,Eurasia,24.4644,86.4657
