sound1,round1,high1,low1,front1,back1,tense1,sound2,P2i1,orP2i1,diffP2i1,round2,high2,low2,front2,back2,tense2,full1,full2
a,-,-,+,-,-,-,e,0.6184834123222749,0.8755274261603375,-0.25704401383806263,-,-,-,+,-,+,rhLfbt,rhlFbT
a,-,-,+,-,-,-,i,0.9289099526066352,0.9936708860759492,-0.06476093346931422,-,+,-,+,-,+,rhLfbt,rHlFbT
a,-,-,+,-,-,-,o,0.6492890995260664,0.90084388185654,-0.2515547823304737,+,-,-,-,+,+,rhLfbt,RhlfBT
a,-,-,+,-,-,-,u,0.8578199052132701,0.9240506329113924,-0.06623072769812233,+,+,-,-,+,+,rhLfbt,RHlfBT
a,-,-,+,-,-,-,ə,0.12322274881516589,0.24261603375527427,-0.1193932849401084,-,-,-,-,-,-,rhLfbt,rhlfbt
a,-,-,+,-,-,-,y,0.02369668246445497,0.05063291139240506,-0.02693622892795008,+,+,-,+,-,+,rhLfbt,RHlFbT
a,-,-,+,-,-,-,ɑ,0.02132701421800948,0.02953586497890295,-0.00820885076089347,-,-,+,-,+,-,rhLfbt,rhLfBt
a,-,-,+,-,-,-,ɤ,0.01421800947867298,0.03375527426160337,-0.01953726478293038,-,-,-,-,+,+,rhLfbt,rhlfBT
a,-,-,+,-,-,-,æ,0.04502369668246445,0.06751054852320675,-0.02248685184074229,-,-,+,+,-,-,rhLfbt,rhLFbt
a,-,-,+,-,-,-,ɛ,0.4431279620853081,0.5274261603375527,-0.08429819825224466,-,-,-,+,-,-,rhLfbt,rhlFbt
a,-,-,+,-,-,-,ɪ,0.13270142180094788,0.14767932489451477,-0.01497790309356689,-,+,-,+,-,-,rhLfbt,rHlFbt
a,-,-,+,-,-,-,ʊ,0.1066350710900474,0.1308016877637131,-0.02416661667366569,+,+,-,-,+,-,rhLfbt,RHlfBt
a,-,-,+,-,-,-,ɔ,0.4265402843601896,0.5,-0.07345971563981041,+,-,-,-,+,-,rhLfbt,RhlfBt
a,-,-,+,-,-,-,ɯ,0.05924170616113744,0.06962025316455696,-0.01037854700341951,-,+,-,-,+,+,rhLfbt,rHlfBT
a,-,-,+,-,-,-,ɨ,0.2132701421800948,0.2721518987341772,-0.05888175655408242,-,+,-,-,-,+,rhLfbt,rHlfbT
a,-,-,+,-,-,-,ø,0.00947867298578199,0.02953586497890295,-0.02005719199312096,+,-,-,+,-,+,rhLfbt,RhlFbT
a,-,-,+,-,-,-,œ,0.00473933649289099,0.0189873417721519,-0.0142480052792609,+,-,-,+,-,-,rhLfbt,RhlFbt
a,-,-,+,-,-,-,ɒ,0.00710900473933649,0.0189873417721519,-0.0118783370328154,+,-,+,-,+,-,rhLfbt,RhLfBt
a,-,-,+,-,-,-,ɐ,0.00710900473933649,0.01265822784810126,-0.00554922310876477,+,-,+,-,-,-,rhLfbt,RhLfbt
a,-,-,+,-,-,-,ʌ,0.04028436018957346,0.04641350210970464,-0.00612914192013118,-,-,-,-,+,-,rhLfbt,rhlfBt
e,-,-,-,+,-,+,a,0.8969072164948454,0.9518348623853212,-0.05492764589047572,-,-,+,-,-,-,rhlFbT,rhLfbt
e,-,-,-,+,-,+,i,0.9484536082474226,1,-0.05154639175257736,-,+,-,+,-,+,rhlFbT,rHlFbT
e,-,-,-,+,-,+,o,0.9072164948453608,0.9587155963302753,-0.05149910148491443,+,-,-,-,+,+,rhlFbT,RhlfBT
e,-,-,-,+,-,+,u,0.8762886597938144,0.944954128440367,-0.06866546864655254,+,+,-,-,+,+,rhlFbT,RHlfBT
e,-,-,-,+,-,+,ə,0.17525773195876287,0.25229357798165136,-0.07703584602288849,-,-,-,-,-,-,rhlFbT,rhlfbt
e,-,-,-,+,-,+,y,0.02405498281786941,0.04587155963302752,-0.02181657681515811,+,+,-,+,-,+,rhlFbT,RHlFbT
e,-,-,-,+,-,+,ɑ,0.06529209621993128,0.06651376146788991,-0.00122166524795863,-,-,+,-,+,-,rhlFbT,rhLfBt
e,-,-,-,+,-,+,ɤ,0.00687285223367697,0.02981651376146789,-0.02294366152779091,-,-,-,-,+,+,rhlFbT,rhlfBT
e,-,-,-,+,-,+,æ,0.06529209621993128,0.08486238532110092,-0.01957028910116964,-,-,+,+,-,-,rhlFbT,rhLFbt
e,-,-,-,+,-,+,ɛ,0.30927835051546393,0.49770642201834864,-0.1884280715028847,-,-,-,+,-,-,rhlFbT,rhlFbt
e,-,-,-,+,-,+,ɪ,0.12714776632302405,0.14908256880733944,-0.02193480248431539,-,+,-,+,-,-,rhlFbT,rHlFbt
e,-,-,-,+,-,+,ʊ,0.12714776632302405,0.14220183486238533,-0.01505406853936128,+,+,-,-,+,-,rhlFbT,RHlfBt
e,-,-,-,+,-,+,ɔ,0.3436426116838488,0.5137614678899083,-0.1701188562060595,+,-,-,-,+,-,rhlFbT,RhlfBt
e,-,-,-,+,-,+,ɯ,0.04123711340206185,0.06192660550458716,-0.0206894921025253,-,+,-,-,+,+,rhlFbT,rHlfBT
e,-,-,-,+,-,+,ɨ,0.2542955326460481,0.2591743119266055,-0.00487877928055741,-,+,-,-,-,+,rhlFbT,rHlfbT
e,-,-,-,+,-,+,ø,0.01374570446735395,0.03211009174311927,-0.01836438727576531,+,-,-,+,-,+,rhlFbT,RhlFbT
e,-,-,-,+,-,+,œ,0.00687285223367697,0.01834862385321101,-0.01147577161953403,+,-,-,+,-,-,rhlFbT,RhlFbt
e,-,-,-,+,-,+,ɒ,0.01374570446735395,0.01834862385321101,-0.00460291938585705,+,-,+,-,+,-,rhlFbT,RhLfBt
